price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,age
25995.0,2015.0,ford,4,8,gas,151585.0,clean,6.0
24995.0,2015.0,ram,4,6,diesel,140983.0,clean,6.0
23995.0,2011.0,ford,4,8,gas,128651.0,clean,10.0
9995.0,2004.0,ram,4,8,gas,153888.0,clean,17.0
22995.0,2011.0,chevrolet,4,8,gas,153992.0,clean,10.0
25995.0,2012.0,chevrolet,4,8,gas,130296.0,clean,9.0
26995.0,2012.0,jeep,4,6,gas,106517.0,clean,9.0
22995.0,2012.0,jeep,4,6,gas,101402.0,clean,9.0
11995.0,2012.0,jeep,4,6,gas,145297.0,clean,9.0
22995.0,2012.0,gmc,4,8,gas,177195.0,clean,9.0
13995.0,2007.0,ford,4,8,diesel,197888.0,clean,14.0
32995.0,2014.0,chevrolet,4,8,gas,119572.0,clean,7.0
20995.0,2012.0,infiniti,4,8,gas,126861.0,clean,9.0
21995.0,2013.0,ford,4,8,gas,133783.0,clean,8.0
29995.0,2015.0,gmc,4,8,gas,101479.0,clean,6.0
24995.0,2013.0,ram,4,8,gas,143234.0,clean,8.0
15995.0,2010.0,chevrolet,4,8,gas,172500.0,clean,11.0
13500.0,2008.0,ford,4,8,gas,164000.0,clean,13.0
7500.0,2011.0,chevrolet,4,4,gas,130000.0,clean,10.0
23900.0,2005.0,gmc,3,8,diesel,145970.0,clean,16.0
18900.0,2012.0,chevrolet,3,8,diesel,177450.0,clean,9.0
7200.0,2005.0,chrysler,5,6,gas,140000.0,clean,16.0
6500.0,2003.0,ram,4,8,gas,152300.0,clean,18.0
3950.0,2007.0,chrysler,4,6,gas,216000.0,clean,14.0
2495.0,2004.0,honda,3,4,gas,202400.0,rebuilt,17.0
5695.0,2012.0,chevrolet,4,4,gas,130000.0,clean,9.0
15900.0,2013.0,honda,4,6,gas,114340.0,clean,8.0
10200.0,2009.0,acura,4,6,gas,142748.0,clean,12.0
10950.0,2006.0,lexus,3,8,gas,109636.0,clean,15.0
5500.0,2005.0,lincoln,4,8,gas,135800.0,clean,16.0
8700.0,2007.0,lexus,4,8,gas,188000.0,clean,14.0
7500.0,2014.0,chevrolet,3,4,gas,103000.0,rebuilt,7.0
15500.0,2011.0,chevrolet,4,8,gas,113592.0,clean,10.0
2995.0,2006.0,gmc,3,6,gas,158831.0,clean,15.0
8950.0,2014.0,honda,3,4,gas,164514.0,clean,7.0
9950.0,2013.0,ford,3,4,gas,122532.0,clean,8.0
11000.0,2012.0,bmw,4,4,gas,132000.0,clean,9.0
3699.0,2011.0,ford,3,8,gas,159000.0,clean,10.0
1200.0,2006.0,ford,2,6,gas,175000.0,clean,15.0
8900.0,2011.0,honda,5,6,gas,173000.0,clean,10.0
12000.0,2013.0,infiniti,5,6,gas,125590.0,clean,8.0
4700.0,2006.0,jeep,3,8,gas,186000.0,clean,15.0
3500.0,2008.0,mazda,4,4,gas,143000.0,rebuilt,13.0
13500.0,2009.0,cadillac,4,8,gas,152000.0,clean,12.0
8250.0,2004.0,chevrolet,3,8,gas,149499.0,clean,17.0
8950.0,2010.0,nissan,3,6,gas,160114.0,clean,11.0
8450.0,2009.0,nissan,3,6,gas,191365.0,clean,12.0
2495.0,2007.0,chevrolet,3,4,gas,138086.0,clean,14.0
13500.0,2008.0,chevrolet,3,8,gas,159900.0,clean,13.0
9800.0,2001.0,toyota,4,5,gas,181000.0,clean,20.0
3300.0,2007.0,toyota,2,4,gas,129000.0,clean,14.0
19750.0,2014.0,ford,4,8,gas,125037.0,clean,7.0
16950.0,2010.0,nissan,4,6,gas,138054.0,clean,11.0
4400.0,2008.0,saturn,3,4,gas,142000.0,clean,13.0
7800.0,2013.0,toyota,4,4,hybrid,151000.0,clean,8.0
10500.0,2013.0,ford,3,4,gas,122532.0,clean,8.0
